,time_iter_pso
498,5.396291971206665
499,5.110909700393677
500,7.406609535217285
501,5.146584749221802
502,5.322120428085327
503,5.824238061904907
504,5.211266756057739
505,5.437770843505859
506,5.582760334014893
507,5.268722772598267
508,5.3972766399383545
509,5.595443964004517
510,5.147648572921753
511,5.376683473587036
512,5.6045215129852295
513,5.102775573730469
514,5.48828649520874
515,5.732732534408569
516,5.448230028152466
517,5.542627573013306
518,5.576451778411865
519,5.229560852050781
520,5.54677152633667
521,5.464395761489868
522,5.2148356437683105
523,5.483123540878296
524,5.518789768218994
525,5.155507802963257
526,5.795335531234741
527,5.493574142456055
528,5.28873872756958
529,6.165647268295288
530,5.715230226516724
531,6.2169036865234375
532,6.681509733200073
533,5.70878791809082
534,6.284605979919434
535,5.76430606842041
536,5.182219743728638
537,5.800108909606934
538,6.25994348526001
539,5.784179925918579
540,6.1314942836761475
541,5.308021068572998
542,5.5809645652771
543,5.9954469203948975
544,5.690645694732666
545,5.643939018249512
546,5.808213472366333
547,5.73170804977417
548,6.159189462661743
549,5.70710563659668
550,5.544316053390503
551,6.191410064697266
552,5.396517753601074
553,5.548050880432129
554,5.717291355133057
555,5.395388603210449
556,5.838150978088379
557,5.830185413360596
558,5.995892524719238
559,6.080568075180054
560,5.912295579910278
561,5.2596399784088135
562,5.651474237442017
563,5.982328653335571
564,5.149895668029785
565,6.019493818283081
566,5.895620584487915
567,6.811395645141602
568,6.502889633178711
569,5.629431486129761
570,6.013824462890625
571,6.075778961181641
572,5.899458885192871
573,6.280458211898804
574,5.675678968429565
575,6.145262718200684
576,5.727643966674805
577,5.496117115020752
578,5.997894048690796
579,5.7097437381744385
580,5.583632946014404
581,5.9541285037994385
582,5.719917058944702
583,5.41606068611145
584,6.074878215789795
585,5.366177558898926
586,5.624907493591309
587,6.545016050338745
588,5.970849514007568
589,6.042059898376465
590,5.9608659744262695
591,5.890695095062256
592,6.582818508148193
593,5.729820489883423
594,5.901578426361084
595,5.734561443328857
596,5.076712608337402
597,5.364416599273682
598,5.85476016998291
599,5.326253652572632
