,time_iter_cmbo
486,6.284224271774292
487,7.363599061965942
488,7.163230657577515
489,7.168009042739868
490,7.103324890136719
491,7.286746978759766
492,7.361785888671875
493,6.856403589248657
494,6.83011531829834
495,6.182823419570923
496,6.525874137878418
497,6.675109386444092
498,6.4415459632873535
499,6.702243328094482
500,7.739541053771973
501,6.754383087158203
502,6.130040884017944
503,6.10561203956604
504,6.612004518508911
505,6.251373052597046
506,6.759258985519409
507,6.360137701034546
508,6.55279278755188
509,6.473876476287842
510,6.162317276000977
511,6.521907329559326
512,6.236393928527832
513,6.342652797698975
514,6.568021059036255
515,6.134417772293091
516,6.761785507202148
517,6.301036834716797
518,6.235210418701172
519,6.525630712509155
520,6.094217777252197
521,6.6046741008758545
522,6.217772960662842
523,6.359629392623901
524,6.5869317054748535
525,6.325869798660278
526,7.131468772888184
527,6.260395526885986
528,6.252174377441406
529,6.592373847961426
530,6.063255548477173
531,6.509760141372681
532,6.494890451431274
533,6.278044939041138
534,6.673763275146484
535,6.140767335891724
536,6.601597547531128
537,6.222757816314697
538,6.330805540084839
539,7.466200351715088
540,7.060530185699463
541,6.924919128417969
542,6.3076417446136475
543,7.216989278793335
544,7.087564468383789
545,6.783348560333252
546,6.783444404602051
547,7.035999059677124
548,6.8453874588012695
549,6.504000902175903
550,7.047003746032715
551,6.9234607219696045
552,6.842771291732788
553,6.751424074172974
554,6.244874000549316
555,6.801055431365967
556,6.150150299072266
557,7.15074348449707
558,8.013354539871216
559,8.30452823638916
560,7.862554311752319
561,7.232110261917114
562,6.647210359573364
563,6.6306257247924805
564,7.455344915390015
565,7.207231521606445
566,7.693633079528809
567,7.152442693710327
568,7.054912328720093
569,6.5464301109313965
570,6.943124294281006
571,7.770585298538208
572,6.782121181488037
573,7.913097620010376
574,7.0546486377716064
575,7.424849033355713
576,6.535381555557251
577,7.210947036743164
578,7.993006229400635
579,7.884484529495239
580,6.971677780151367
581,7.8616766929626465
582,7.986912727355957
583,7.637699365615845
584,7.92476749420166
585,8.563809633255005
586,8.097249746322632
587,7.662431240081787
588,9.299914121627808
589,9.353759288787842
590,7.999091863632202
591,7.964972496032715
592,7.755126953125
593,7.823628664016724
594,7.250980615615845
595,7.68239951133728
596,7.309007167816162
597,6.616985082626343
598,6.463114976882935
599,6.349036693572998
600,8.947044610977173
601,6.677469253540039
602,7.168339967727661
603,6.650144338607788
604,7.118116855621338
605,6.83644437789917
606,6.789496660232544
607,6.822238206863403
608,6.403620719909668
609,7.203370809555054
610,6.695389270782471
611,6.851185321807861
612,6.705198764801025
613,6.592349529266357
614,6.94735312461853
615,6.358633041381836
616,6.859273910522461
617,6.484364032745361
618,6.921871900558472
619,7.034503698348999
620,6.622447729110718
621,6.989007949829102
622,6.4914727210998535
623,6.981010675430298
624,6.790067672729492
625,6.912638425827026
626,6.767179250717163
627,6.7118401527404785
628,7.275530815124512
629,6.613635063171387
630,7.010852813720703
631,6.570824861526489
632,6.658949136734009
633,6.819321393966675
634,6.418221473693848
635,7.0027172565460205
636,7.0285961627960205
637,8.045974016189575
638,7.277608394622803
639,7.661763429641724
640,7.731685161590576
641,7.920115947723389
642,6.782947540283203
643,6.498577117919922
644,7.216137409210205
645,6.3545427322387695
646,7.004058837890625
647,6.632319688796997
648,6.8055877685546875
649,6.628133535385132
650,6.589993953704834
651,6.958921909332275
652,6.542990207672119
653,7.120617151260376
654,6.593083143234253
655,6.650369644165039
656,6.650733709335327
